vocabPrefix,domain,uri version
dave,IoT,https://lov.linkeddata.es/dataset/lov/vocabs/dave/versions/2017-11-30.n3
dbm,Health,https://lov.linkeddata.es/dataset/lov/vocabs/dbm/versions/2014-09-01.n3
dbowl,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/dbowl/versions/2016-03-01.n3
dbpedia-owl,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/dbpedia-owl/versions/2016-05-21.n3
dbug,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/dbug/versions/2011-02-15.n3
dcam,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/dcam/versions/2012-06-14.n3
dcat,W3C Rec,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2014-05-31.n3
dce,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/dce/versions/2012-06-14.n3
dcite,SPAR,https://lov.linkeddata.es/dataset/lov/vocabs/dcite/versions/2014-05-21.n3
dcndl,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/dcndl/versions/2011-12-01.n3
dcterms,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/dcterms/versions/2012-06-14.n3
dctype,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/dctype/versions/2012-06-14.n3
decision,Support,https://lov.linkeddata.es/dataset/lov/vocabs/decision/versions/2012-04-18.n3
demlab,Health,https://lov.linkeddata.es/dataset/lov/vocabs/demlab/versions/2014-09-02.n3
deo,SPAR,https://lov.linkeddata.es/dataset/lov/vocabs/deo/versions/2015-07-03.n3
deps,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/deps/versions/2013-07-31.n3
dicom,Health,https://lov.linkeddata.es/dataset/lov/vocabs/dicom/versions/2015-01-11.n3
dio,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/dio/versions/2016-01-04.n3
dio,Services,https://lov.linkeddata.es/dataset/lov/vocabs/dio/versions/2016-01-04.n3
disco,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/disco/versions/2013-09-30.n3
dita,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/dita/versions/2014-08-03.n3
dk,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/dk/versions/2018-02-14.n3
dk,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/dk/versions/2018-02-14.n3
dk,Vocabularies,https://lov.linkeddata.es/dataset/lov/vocabs/dk/versions/2018-02-14.n3
dk,eBusiness,https://lov.linkeddata.es/dataset/lov/vocabs/dk/versions/2018-02-14.n3
dm2e,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/dm2e/versions/2015-01-20.n3
dnbt,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/dnbt/versions/2019-02-12.n3
doap,Society,https://lov.linkeddata.es/dataset/lov/vocabs/doap/versions/2012-01-04.n3
doc,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/doc/versions/2006-07-29.n3
doco,SPAR,https://lov.linkeddata.es/dataset/lov/vocabs/doco/versions/2015-07-03.n3
docso,Services,https://lov.linkeddata.es/dataset/lov/vocabs/docso/versions/2013-12-05.n3
dogont,Environment,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2015-01-11.n3
dogont,IoT,https://lov.linkeddata.es/dataset/lov/vocabs/dogont/versions/2015-01-11.n3
donto,Government,https://lov.linkeddata.es/dataset/lov/vocabs/donto/versions/2015-06-19.n3
donto,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/donto/versions/2015-06-19.n3
dpn,Services,https://lov.linkeddata.es/dataset/lov/vocabs/dpn/versions/2015-08-05.n3
dpn,Support,https://lov.linkeddata.es/dataset/lov/vocabs/dpn/versions/2015-08-05.n3
dprov,Vocabularies,https://lov.linkeddata.es/dataset/lov/vocabs/dprov/versions/2017-09-01.n3
dq,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/dq/versions/2014-08-28.n3
dqc,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/dqc/versions/2011-03-28.n3
dqc,eBusiness,https://lov.linkeddata.es/dataset/lov/vocabs/dqc/versions/2011-03-28.n3
dqm,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/dqm/versions/2011-10-09.n3
dqv,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/dqv/versions/2016-08-26.n3
dr,Support,https://lov.linkeddata.es/dataset/lov/vocabs/dr/versions/2010-10-12.n3
drm,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/drm/versions/2012-03-17.n3
ds,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/ds/versions/2013-03-22.n3
dsn,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/dsn/versions/2014-06-19.n3
dso,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/dso/versions/2009-06-28.n3
dtype,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/dtype/versions/2014-06-28.n3
dul,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/dul/versions/2017-04-10.n3
duv,People,https://lov.linkeddata.es/dataset/lov/vocabs/duv/versions/2016-08-30.n3
duv,Society,https://lov.linkeddata.es/dataset/lov/vocabs/duv/versions/2016-08-30.n3
dvia,API,https://lov.linkeddata.es/dataset/lov/vocabs/dvia/versions/2013-10-09.n3
eac-cpf,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/eac-cpf/versions/2013-02-18.n3
earl,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/earl/versions/2011-05-10.n3
earth,Environment,https://lov.linkeddata.es/dataset/lov/vocabs/earth/versions/2016-06-13.n3
earth,Society,https://lov.linkeddata.es/dataset/lov/vocabs/earth/versions/2016-06-13.n3
ebucore,Multimedia,https://lov.linkeddata.es/dataset/lov/vocabs/ebucore/versions/2015-08-04.n3
eccrev,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/eccrev/versions/2016-03-14.n3
eclap,Multimedia,https://lov.linkeddata.es/dataset/lov/vocabs/eclap/versions/2014-09-04.n3
ecpo,Press,https://lov.linkeddata.es/dataset/lov/vocabs/ecpo/versions/2014-08-07.n3
ecpo,Time,https://lov.linkeddata.es/dataset/lov/vocabs/ecpo/versions/2014-08-07.n3
ecrm,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/ecrm/versions/2017-01-03.n3
edac,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/edac/versions/2015-09-24.n3
edac,Support,https://lov.linkeddata.es/dataset/lov/vocabs/edac/versions/2015-09-24.n3
edm,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/edm/versions/2013-05-20.n3
edupro,Academy,https://lov.linkeddata.es/dataset/lov/vocabs/edupro/versions/2016-09-13.n3
edupro,Support,https://lov.linkeddata.es/dataset/lov/vocabs/edupro/versions/2016-09-13.n3
eem,Events,https://lov.linkeddata.es/dataset/lov/vocabs/eem/versions/2013-07-16.n3
eepsa,Environment,https://lov.linkeddata.es/dataset/lov/vocabs/eepsa/versions/2018-02-25.n3
ei2a,Government,https://lov.linkeddata.es/dataset/lov/vocabs/ei2a/versions/2019-01-16.n3
ei2a,Vocabularies,https://lov.linkeddata.es/dataset/lov/vocabs/ei2a/versions/2019-01-16.n3
elec,Government,https://lov.linkeddata.es/dataset/lov/vocabs/elec/versions/2013-01-17.n3
eli,Contracts,https://lov.linkeddata.es/dataset/lov/vocabs/eli/versions/2018-05-23.n3
eli,FRBR,https://lov.linkeddata.es/dataset/lov/vocabs/eli/versions/2018-05-23.n3
emotion,People,https://lov.linkeddata.es/dataset/lov/vocabs/emotion/versions/2013-11-26.n3
emp,Society,https://lov.linkeddata.es/dataset/lov/vocabs/emp/versions/2013-09-03.n3
ends,API,https://lov.linkeddata.es/dataset/lov/vocabs/ends/versions/2011-02-24.n3
ep,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/ep/versions/2010-10-20.n3
eppl,IoT,https://lov.linkeddata.es/dataset/lov/vocabs/eppl/versions/2019-03-06.n3
